subid, subage, gender, group, code, targ, resp, unknown, trial, block, Acc, RT, ts_RT, diff,
102,25, F, adult,1,5,32,132,85,2,1,314.82,308.18,6.65, 
102,25, F, adult,2,3,32,132,86,2,0,232.14,228,4.14, 
102,25, F, adult,1,8,32,132,87,2,1,374.97,367.94,7.03, 
102,25, F, adult,1,4,32,132,88,2,1,342.33,338.4,3.93, 
102,25, F, adult,1,5,32,132,89,2,1,361.93,359.08,2.85, 
102,25, F, adult,1,2,32,132,90,2,1,645.34,642.19,3.15, 
102,25, F, adult,1,2,32,132,91,2,1,488.41,484.18,4.23, 
102,25, F, adult,1,9,32,132,92,2,1,554.93,552.23,2.7, 
102,25, F, adult,3,111,100,132,93,2,999,2852.75,2849.66,3.1, 
102,25, F, adult,1,2,32,132,94,2,1,575.35,568.37,6.98, 
102,25, F, adult,1,6,32,132,95,2,1,452.23,448.96,3.27, 
102,25, F, adult,2,3,0,132,96,2,1,0,0,0, 
102,25, F, adult,1,9,32,132,97,2,1,274.48,270.49,4, 
102,25, F, adult,1,9,32,132,98,2,1,349.43,346.04,3.39, 
102,25, F, adult,1,1,32,132,99,2,1,473.38,469.27,4.11, 
102,25, F, adult,1,9,32,132,100,2,1,307.32,302.55,4.77, 
102,25, F, adult,1,1,32,132,101,2,1,563.7,560.62,3.08, 
102,25, F, adult,1,6,32,132,102,2,1,775.53,772.55,2.98, 
102,25, F, adult,1,4,32,132,103,2,1,746.66,743.69,2.96, 
102,25, F, adult,1,7,32,132,104,2,1,626.09,619.32,6.76, 
102,25, F, adult,1,1,32,132,105,2,1,821.08,816.67,4.41, 
102,25, F, adult,1,5,32,132,106,2,1,524.62,520,4.63, 
102,25, F, adult,1,1,32,132,107,2,1,445.99,443.38,2.62, 
102,25, F, adult,1,2,32,132,108,2,1,578.8,576.09,2.71, 
102,25, F, adult,2,3,0,132,109,2,1,0,0,0, 
102,25, F, adult,1,9,32,132,110,2,1,274.68,270.89,3.8, 
102,25, F, adult,1,5,32,132,111,2,1,369.83,362.78,7.05, 
102,25, F, adult,1,1,32,132,112,2,1,369.04,364.77,4.28, 
102,25, F, adult,1,2,32,132,113,2,1,549.35,544.53,4.81, 
